ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
20.55546,0.4902042,41.25957,0,0,1,1
17.78888,0.4979553,42.50383,0,0,1,0
15.53614,0.1667261,37.24508,0,0,1,1
13.02212,0.02437124,38.32601,0,1,0,0
26.40272,0.519342,1.747188,0,0,1,1
26.27255,0.5197003,3.634862,0,0,1,1
26.0451,0.520194,5.275108,0,0,1,1
25.42041,0.5156445,6.748471,0,0,1,1
25.18746,0.5156477,8.506113,0,0,1,1
24.65775,0.5162129,10.21545,0,0,1,1
24.06889,0.5168769,11.73723,0,0,1,1
23.44892,0.5176223,13.37678,0,0,1,1
22.67551,0.5186328,14.98004,0,0,1,1
21.89064,0.5197602,16.40692,0,0,1,1
21.03199,0.5230793,17.52461,0,1,0,1
20.65015,0.540457,18.739,0,0,1,1
19.30378,0.5380169,20.26156,0,0,1,1
18.5474,0.5477158,20.91194,0,0,1,1
17.77326,0.5560814,22.15604,0,0,1,1
16.94303,0.5429603,23.62978,0,0,1,1
15.30008,0.5162348,24.39897,0,1,0,1
14.81243,0.5168641,25.75631,0,1,0,1
15.66126,0.5459155,26.66434,0,0,1,1
14.59742,0.5236891,27.64084,0,1,0,1
13.28115,0.4927468,27.91907,0,0,1,1
11.77522,0.4562337,28.4567,0,1,0,1
11.80754,0.4070848,29.15206,0,1,0,1
12.8062,0.4198548,30.30217,0,1,0,1
16.77074,0.4404417,31.24438,0,1,0,1
35.43085,0.4641916,32.16183,0,0,1,1
27.67735,0.4863908,33.0532,0,1,0,1
22.98029,0.5160794,33.70332,0,0,1,1
19.3496,0.5434569,34.75861,1,0,0,1
18.66967,0.5166119,33.20868,0,0,1,0
16.94748,0.5066157,31.73061,0,0,1,0
15.10587,0.5016934,30.97599,0,0,1,1
14.56316,0.4868755,32.1666,0,0,1,1
13.34947,0.4588062,33.87143,0,0,1,1
11.42435,0.4397187,34.80763,1,0,0,1
10.22649,0.4452631,35.97538,1,0,0,1
10.62979,0.4711038,37.2839,1,0,0,1
14.12521,0.4971075,38.32811,0,0,1,1
18.01149,0.532593,39.19582,0,0,1,1
19.69774,0.5543889,39.97828,1,0,0,1
34.73042,0.5607741,40.12845,0,0,1,1
35.45853,0.5746744,39.86141,0,0,1,1
35.59073,0.5792082,40.57356,0,0,1,1
36.25164,0.5696549,41.78318,1,0,0,1
43.95579,0.5128685,42.26414,1,0,0,1
68.59063,0.4211158,43.48708,0,0,1,1
65.45184,0.4057598,44.33694,0,1,0,1
66.37807,0.4653558,42.15372,0,0,1,0
65.69406,0.511748,41.24989,0,0,1,1
62.83495,0.526435,41.91228,0,0,1,1
57.43101,0.4948328,43.21527,0,0,1,1
53.50753,0.4872078,44.60476,0,0,1,1
47.97272,0.4745686,45.2047,0,0,1,1
38.63093,0.4561752,45.90686,0,0,1,0
32.09427,0.454552,43.15771,0,0,1,1
30.34657,0.454871,43.85588,1,0,0,1
24.31785,0.426625,44.78668,0,1,0,1
21.81758,0.4260181,45.54024,0,1,0,1
22.62973,0.4596915,46.59361,0,0,1,1
23.12895,0.4929163,47.092,0,0,1,1
24.95005,0.5463151,48.24159,0,0,1,1
25.57827,0.5175453,48.88476,0,0,1,1
25.08325,0.4708924,49.66064,0,1,0,0
23.34711,0.4415791,45.42528,0,1,0,1
21.86627,0.4271238,43.51526,0,0,1,1
20.82839,0.4299966,42.14371,0,1,0,1
22.10453,0.4829594,43.02195,0,0,1,1
22.9267,0.537839,43.7771,0,1,0,1
23.8027,0.5763028,44.60887,1,0,0,1
20.09317,0.6025724,45.43484,0,0,1,0
15.97656,0.5276731,41.93132,0,1,0,1
16.15483,0.4491834,42.85452,0,1,0,1
16.9631,0.4355066,42.67928,0,1,0,0
19.72038,0.4507376,37.90572,0,1,0,1
22.7724,0.467269,38.65643,0,1,0,1
27.14666,0.4917419,39.96032,0,0,1,1
34.93527,0.5025851,40.45399,0,0,1,1
41.79723,0.4974118,41.67751,1,0,0,1
35.11388,0.478335,42.29425,0,1,0,1
31.0811,0.4520959,43.32421,0,1,0,1
45.39064,0.4400011,44.20293,0,1,0,1
50.23987,0.4478534,44.8082,0,0,1,1
51.66469,0.4536629,46.10359,0,0,1,1
50.09072,0.4479641,43.13296,0,0,1,1
49.96478,0.458379,43.63143,0,0,1,1
46.96664,0.4548561,44.3781,0,0,1,1
42.65365,0.439659,45.13618,0,0,1,1
41.46819,0.4501063,46.37804,0,0,1,1
40.41327,0.4513911,47.64701,0,0,1,1
37.76147,0.4530742,48.32885,0,0,1,1
38.42711,0.485985,49.61004,0,0,1,1
36.65358,0.5040591,50.69161,0,0,1,1
33.52674,0.5197715,51.7589,0,0,1,1
30.88646,0.5341246,52.39138,0,1,0,1
33.92337,0.5869781,47.83239,0,0,1,1
36.17302,0.6149492,47.6718,0,0,1,1
35.29025,0.567015,48.2473,0,1,0,1
34.71956,0.5431375,49.00842,0,0,1,1
32.96978,0.5096759,49.83851,0,1,0,1
32.58896,0.5092713,50.00399,0,1,0,1
33.89415,0.5365993,50.93267,0,0,1,1
32.22622,0.5396173,52.00441,0,0,1,1
29.85155,0.5434623,52.57656,0,1,0,1
29.2994,0.5553923,53.20067,0,0,1,1
25.10488,0.5482367,54.34461,0,0,1,1
22.3002,0.5570276,54.53494,0,0,1,1
22.77884,0.5399958,54.90683,0,1,0,1
29.15607,0.5401235,54.88131,0,1,0,1
31.02522,0.5517817,55.58653,0,1,0,1
31.05727,0.5129834,55.94609,0,0,1,1
30.33086,0.4817782,56.40437,0,0,1,1
28.6697,0.4584018,56.84645,0,1,0,1
29.333,0.4607185,57.28453,0,1,0,1
31.94189,0.4812894,57.82244,0,1,0,1
37.15981,0.5187162,58.27507,0,0,1,1
37.82299,0.5176358,58.65059,0,1,0,1
41.54752,0.516921,58.16711,0,0,1,0
41.04277,0.5153089,53.64501,0,0,1,1
41.91072,0.5239344,54.13543,0,0,1,1
43.4972,0.5234674,52.63298,0,0,1,0
37.32154,0.4867311,46.93141,0,1,0,0
39.00072,0.4784882,45.00109,0,0,1,1
39.61679,0.4738914,46.36351,0,0,1,1
38.20721,0.46065,47.63104,0,0,1,1
35.2183,0.4444325,48.76371,0,0,1,1
32.11914,0.4292308,46.75306,0,0,1,1
32.48164,0.4255622,47.12869,0,1,0,1
42.48355,0.4464256,48.27435,1,0,0,1
36.262,0.4352663,48.86172,0,1,0,1
35.82635,0.4167851,49.71204,0,0,1,1
36.0772,0.417314,50.14071,0,0,1,1
34.79099,0.4082514,51.37506,0,0,1,1
32.91016,0.4005285,51.78903,0,0,1,1
31.14032,0.4068701,52.87993,0,0,1,1
29.61935,0.4059666,53.88151,0,0,1,1
26.70113,0.4078434,54.37728,0,0,1,1
24.87832,0.4406971,55.51961,0,0,1,1
22.15778,0.463046,55.92915,0,1,0,1
22.25685,0.5335448,52.49508,0,0,1,0
21.54099,0.5813889,49.04703,0,1,0,1
23.06926,0.5793645,49.22646,0,0,1,1
26.1457,0.5940334,45.97032,0,0,1,1
29.05931,0.616829,46.15398,0,0,1,1
30.13079,0.589241,47.05647,0,1,0,1
35.90611,0.5485408,47.40573,0,1,0,1
58.16616,0.5641498,48.47544,0,0,1,1
56.16278,0.5672345,48.78765,0,0,1,1
52.44053,0.5764566,49.52472,1,0,0,1
50.80531,0.5336125,50.56843,0,0,1,1
47.59772,0.5254477,51.2217,0,0,1,1
43.84476,0.5228391,52.38895,0,0,1,1
42.34214,0.5199013,53.52895,0,0,1,1
38.87305,0.5099752,54.10032,0,0,1,1
34.76405,0.5084981,55.09963,0,0,1,1
31.84434,0.4882359,55.73508,0,0,1,1
28.15142,0.4700512,56.26952,0,0,1,1
27.04156,0.4729969,55.32151,0,0,1,0
28.25249,0.4692681,49.32465,0,0,1,0
27.69092,0.4656014,45.9342,0,0,1,1
26.77402,0.4614301,47.16818,0,0,1,1
26.24321,0.461616,45.28533,0,0,1,0
23.05394,0.4814591,39.84572,0,0,1,1
20.55546,0.4902042,41.25957,0,0,1,1
17.78888,0.4979553,42.50383,0,0,1,0
15.53614,0.1667261,37.24508,0,0,1,1
13.02212,0.02437124,38.32601,0,1,0,0
12.1435,0.02795845,7.014953,0,0,1,0
12.21941,0.03006268,0.9493026,0,0,1,0
12.22977,0.02966646,0.06668731,0,0,1,0
12.22793,0.029711,0.05402211,0,0,1,0
12.22883,0.02976711,0.01087247,0,0,1,0
12.22857,0.02975598,0.003462759,0,0,1,0
12.22856,0.02975748,0.001053673,0,0,1,0
12.22859,0.0297596,0.0002939492,0,0,1,0
12.22857,0.02975788,5.88353e-05,0,0,1,0
12.22858,0.02975801,2.137874e-05,0,0,1,0
12.22857,0.02975859,6.652449e-06,0,0,1,0
12.22857,0.02975834,2.259538e-06,0,0,1,0
12.22858,0.02975838,3.180161e-06,0,0,1,0
12.22858,0.02975841,2.232435e-06,0,0,1,0
26.39541,0.5194306,1.416279,0,0,1,1
26.34273,0.5197296,3.391142,0,0,1,1
26.17059,0.5203242,5.183964,0,0,1,1
25.85164,0.5209962,6.702545,1,0,0,1
25.04914,0.5145139,8.390321,0,0,1,1
24.49275,0.5147352,10.10313,0,0,1,1
23.83225,0.5153344,11.62696,0,0,1,1
23.19368,0.5159762,13.26862,0,0,1,1
22.32317,0.5169516,14.87446,0,0,1,1
21.92741,0.5174372,16.30341,0,0,1,1
20.89933,0.5188246,17.84221,0,0,1,1
19.75009,0.5203475,19.56939,0,0,1,1
18.60935,0.5221144,20.44988,0,0,1,1
17.37559,0.5243002,17.13428,0,1,0,1
17.04636,0.5327278,18.84653,0,0,1,1
15.87367,0.513925,20.47654,0,1,0,1
15.84715,0.5181697,22.12572,0,0,1,1
14.99123,0.5102866,23.63527,0,0,1,1
13.42375,0.4905208,25.31776,0,1,0,1
13.23662,0.4997922,26.46543,0,0,1,1
13.10596,0.4803477,28.02304,0,1,0,1
14.08179,0.4729233,29.3475,0,0,1,1
13.00947,0.4481685,30.68027,0,1,0,1
13.40548,0.4066215,32.0002,0,1,0,1
17.84533,0.4501204,33.21891,0,1,0,1
35.38273,0.4643943,34.28088,0,1,0,1
27.24722,0.4934768,35.62139,0,0,1,1
22.97495,0.5105538,36.77401,1,0,0,1
22.36801,0.4713053,37.88523,0,1,0,1
19.63758,0.4660109,39.07641,0,0,1,1
16.74841,0.4575112,40.32407,0,0,1,1
15.37063,0.451571,41.88786,0,0,1,1
12.85947,0.4387636,42.66201,1,0,0,1
11.48406,0.402589,43.82836,1,0,0,1
10.72734,0.4141595,44.28756,1,0,0,1
14.21001,0.4741988,44.85523,1,0,0,1
33.98177,0.4590592,45.4131,0,0,1,1
44.53988,0.450984,46.48453,0,0,1,1
49.72256,0.4311324,46.90558,0,0,1,1
79.66233,0.4064888,47.78579,0,0,1,1
47.17837,0.4051563,49.04201,0,0,1,1
41.47038,0.3989058,49.79028,0,0,1,1
34.39299,0.4241278,50.99948,0,0,1,1
32.76655,0.4932067,51.49152,1,0,0,1
62.65258,0.4605052,52.5005,0,0,1,1
56.8114,0.4551896,53.23701,1,0,0,1
44.77353,0.4183142,54.05274,0,0,1,1
41.57421,0.4059688,55.11247,0,0,1,1
37.5886,0.4012606,56.07413,0,0,1,1
33.45791,0.419715,57.1246,0,0,1,1
29.78565,0.4352012,58.15619,0,0,1,1
26.10229,0.4497413,59.16584,0,0,1,1
23.7146,0.4793738,59.31072,0,1,0,1
25.89139,0.5387316,56.88495,0,1,0,0
28.56853,0.5576061,54.29019,0,0,1,1
26.04631,0.5010593,54.99014,0,1,0,1
25.29087,0.4887803,55.17729,0,0,1,1
23.94409,0.478865,56.23867,0,0,1,1
21.37775,0.4614563,56.28281,0,1,0,1
20.52411,0.4937916,57.11914,0,0,1,1
18.03408,0.5144171,57.71978,0,1,0,1
17.07001,0.5687578,57.59248,0,1,0,1
17.03209,0.453032,58.12616,0,1,0,1
16.0371,0.3801096,57.7589,0,1,0,1
16.31113,0.3699507,57.4423,0,1,0,1
19.15308,0.378881,56.94087,0,1,0,1
31.4827,0.413338,56.76745,0,0,1,1
56.16273,0.41832,56.47049,0,0,1,1
58.03769,0.4427993,57.20809,0,1,0,1
57.62279,0.4619783,58.06475,0,0,1,1
54.96218,0.4538646,59.03362,0,0,1,1
51.17882,0.4447915,60.01266,0,0,1,1
47.09122,0.4405142,60.97933,0,0,1,1
45.34542,0.4390135,59.25624,0,0,1,0
41.36809,0.4360544,54.7324,0,0,1,1
38.11078,0.4349818,55.12738,0,0,1,0
34.8567,0.4338508,52.57757,0,0,1,1
31.59104,0.4323745,52.20033,0,1,0,0
31.71514,0.461877,47.67925,0,0,1,1
30.44599,0.4860193,48.89266,0,0,1,1
28.55769,0.5076084,49.57682,0,1,0,1
31.22331,0.568087,50.53568,0,0,1,1
32.70073,0.5648699,50.68959,0,1,0,1
36.02963,0.5382874,51.65747,0,0,1,1
34.56178,0.5062479,51.6804,0,0,1,1
34.00245,0.5018497,52.3102,0,1,0,1
33.6492,0.5107086,53.17709,0,0,1,1
33.22971,0.526344,53.54027,0,0,1,1
31.50612,0.5412032,54.61692,0,0,1,0
30.27907,0.5447103,49.83217,0,0,1,1
27.18095,0.5525107,50.66756,0,1,0,1
25.96328,0.580739,51.33563,0,0,1,1
24.55151,0.5573848,52.37797,0,1,0,1
24.88004,0.5407777,52.44474,0,1,0,1
30.50617,0.555977,52.63861,0,1,0,1
35.24711,0.5623903,52.96209,0,0,1,1
36.37045,0.556244,53.87158,0,0,1,1
34.86717,0.5339908,54.41447,0,1,0,1
35.72639,0.5373494,55.35081,0,0,1,1
34.28632,0.5365862,55.95889,0,1,0,1
38.68793,0.5677347,56.60387,0,0,1,1
39.93525,0.575963,57.50803,0,0,1,1
37.33583,0.5595338,58.50338,0,0,1,1
35.45943,0.5500648,58.96719,0,1,0,1
39.35994,0.5616319,59.68204,0,0,1,1
41.34673,0.5585848,60.40743,0,1,0,1
47.14604,0.5465421,60.84967,0,0,1,1
57.64971,0.5479755,61.23388,0,0,1,1
55.18053,0.5559391,62.13248,0,0,1,1
50.8737,0.5499728,62.50491,1,0,0,1
43.87265,0.5300282,63.38138,0,0,1,1
37.49363,0.5196294,63.70236,0,0,1,1
40.46731,0.5260678,64.61427,0,0,1,1
36.75284,0.5114083,64.91847,0,1,0,1
34.15135,0.4754246,65.75082,0,0,1,1
30.7305,0.4358973,65.91402,0,1,0,1
28.99053,0.4393427,66.38194,0,1,0,1
27.48386,0.4702506,66.38381,0,0,1,1
26.15058,0.4848501,67.06973,0,0,1,1
22.62965,0.5076447,67.4975,0,1,0,1
19.96137,0.5607386,67.68919,0,0,1,1
17.98942,0.5536474,67.4249,0,1,0,1
19.11772,0.5296227,66.84482,0,1,0,1
26.30017,0.4656872,66.09406,0,1,0,1
38.92502,0.4238376,65.05497,0,0,1,1
47.92906,0.4109142,64.89729,0,1,0,1
54.58868,0.4068411,65.12415,0,0,1,1
50.02105,0.3987028,65.54649,0,0,1,1
46.26293,0.3883579,62.57224,0,0,1,0
42.06569,0.3960748,56.42167,0,0,1,0
38.06358,0.4174303,54.14027,0,0,1,1
35.97434,0.432534,49.44863,0,0,1,0
32.55682,0.4484454,47.9479,0,0,1,1
29.63499,0.4557317,48.66865,0,0,1,1
27.06797,0.4351017,49.80645,0,0,1,1
26.97117,0.4285864,50.61492,0,1,0,1
27.48562,0.4490111,49.06877,0,0,1,0
28.13396,0.4575197,43.21329,0,0,1,0
27.87033,0.4609289,37.48588,0,0,1,0
25.67576,0.4665927,35.46841,0,0,1,1
23.49465,0.4721536,36.84413,0,0,1,1
20.96183,0.4870861,37.70737,0,0,1,1
18.54485,0.5102081,39.4026,0,0,1,1
15.8756,0.5272519,40.6781,0,0,1,1
13.40013,0.02241466,38.84329,0,0,1,0
